0;path;file;Fd kHz;Fg kHz;Start;End;cnt;Source name;Section
79;..\RRLPy_data\d2005_09\d_9_24_25M.001;d_9_24_25M.001;3180;35330;23:24;;;G130;ns
80;..\RRLPy_data\d2005_09\d_9_25_25M.001;d_9_25_25M.001;3180;35330;23:12;;;G130;ns
81;..\RRLPy_data\d2005_10\d_10_27_25M.001;d_10_27_25M.001;3180;;;;;;
82;..\RRLPy_data\d2005_10\d_10_27_25M.002;d_10_27_25M.002;3180;;;;;;
83;..\RRLPy_data\d2005_10\d_10_28_25M.001;d_10_28_25M.001;3180;;;;;;
84;..\RRLPy_data\d2005_10\d_10_29_25M.001;d_10_29_25M.001;3180;;;;;;
85;..\RRLPy_data\d2005_10\d_10_30_25M.001;d_10_30_25M.001;3180;;;;;;
86;..\RRLPy_data\d2005_11\d_11_21_25M.001;d_11_21_25M.001;3180;;;;;;
87;..\RRLPy_data\d2005_11\d_11_21_25M.002;d_11_21_25M.002;3180;;;;;;
88;..\RRLPy_data\d2005_11\d_11_22_25M.001;d_11_22_25M.001;3180;;;;;;
89;..\RRLPy_data\d2005_11\d_11_23_25M.001;d_11_23_25M.001;3180;;;;;;
90;..\RRLPy_data\d2005_11\d_11_23_25M.002;d_11_23_25M.002;3180;;;;;;
91;..\RRLPy_data\d2005_11\d_11_24_25M.001;d_11_24_25M.001;3180;;;;;;
92;..\RRLPy_data\d2005_11\d_11_25_25M.001;d_11_25_25M.001;3180;;;;;;
93;..\RRLPy_data\d2005_11\d_11_25_25M.002;d_11_25_25M.002;3180;;;;;;
94;..\RRLPy_data\d2005_11\d_11_25_25M.003;d_11_25_25M.003;3180;;;;;;
95;..\RRLPy_data\d2005_11\d_11_26_25M.001;d_11_26_25M.001;3180;;;;;;
96;..\RRLPy_data\d2005_11\d_11_26_25M.002;d_11_26_25M.002;3180;;;;;;
97;..\RRLPy_data\d2005_11\d_11_26_25M.003;d_11_26_25M.003;3180;;;;;;
98;..\RRLPy_data\d2005_11\d_11_27_25M.001;d_11_27_25M.001;3180;;;;;;
